Transaction ID,Timestamp,Execution Type,Delta Amount ($),Resulting Balance ($)
57,05:26:23,GAIN,59.0,379.75
58,05:26:33,LOSS,22.0,357.75
59,05:26:43,LOSS,22.0,335.75
60,05:26:53,LOSS,26.0,309.75
61,05:27:03,LOSS,29.0,280.75
62,05:27:13,GAIN,52.0,332.75
63,05:27:23,LOSS,30.0,302.75
64,05:27:34,LOSS,23.0,279.75
65,05:27:44,GAIN,33.0,312.75
66,05:27:54,GAIN,26.0,338.75
67,05:28:04,GAIN,27.0,365.75
68,05:28:14,LOSS,25.0,340.75
69,05:28:24,LOSS,21.0,319.75
70,05:28:34,GAIN,56.0,375.75
71,05:28:44,LOSS,20.0,355.75
72,05:28:54,LOSS,24.0,331.75
73,05:29:04,GAIN,54.0,385.75
74,05:29:14,GAIN,38.0,423.75
75,05:29:24,LOSS,22.0,401.75
76,05:29:34,GAIN,52.0,453.75
77,05:29:44,GAIN,39.0,492.75
78,05:29:54,GAIN,43.0,535.75
79,05:30:04,GAIN,30.0,565.75
80,05:30:14,LOSS,27.0,538.75
81,05:30:24,GAIN,46.0,584.75
82,05:30:34,GAIN,48.0,632.75
83,05:30:44,GAIN,58.0,690.75
84,05:30:54,GAIN,36.0,726.75
85,05:31:04,LOSS,26.0,700.75
86,05:31:14,GAIN,30.0,730.75
87,05:31:24,GAIN,58.0,788.75
88,05:31:34,LOSS,29.0,759.75
89,05:31:44,LOSS,24.0,735.75
90,05:31:54,GAIN,25.0,760.75
91,05:32:04,GAIN,44.0,804.75
92,05:32:14,GAIN,37.0,841.75
93,05:32:24,GAIN,42.0,883.75
94,05:32:34,GAIN,29.0,912.75
95,05:32:44,LOSS,18.0,894.75
96,05:32:54,LOSS,25.0,869.75
97,05:33:04,GAIN,36.0,905.75
98,05:33:14,GAIN,32.0,937.75
99,05:33:24,LOSS,23.0,914.75
100,05:33:34,LOSS,22.0,892.75
101,05:33:44,LOSS,23.0,869.75
102,05:33:54,GAIN,44.0,913.75
103,05:34:04,LOSS,23.0,890.75
104,05:34:14,LOSS,23.0,867.75
105,05:34:24,GAIN,33.0,900.75
106,05:34:34,LOSS,25.0,875.75
107,05:34:44,GAIN,25.0,900.75
108,05:34:54,GAIN,32.0,932.75
109,05:35:04,GAIN,41.0,973.75
110,05:35:14,LOSS,19.0,954.75
111,05:35:24,LOSS,26.0,928.75
112,05:35:34,GAIN,52.0,980.75
113,05:35:44,LOSS,26.0,954.75
114,05:35:54,LOSS,27.0,927.75
115,05:36:04,LOSS,13.0,914.75
116,05:36:14,LOSS,12.0,902.75
117,05:36:24,LOSS,30.0,872.75
118,05:36:34,LOSS,20.0,852.75
119,05:36:44,LOSS,29.0,823.75
120,05:36:54,GAIN,26.0,849.75
121,05:37:04,LOSS,25.0,824.75
122,05:37:14,LOSS,25.0,799.75
123,05:37:24,GAIN,60.0,859.75
124,05:37:34,GAIN,57.0,916.75
125,05:37:44,LOSS,28.0,888.75
126,05:37:54,GAIN,56.0,944.75
127,05:38:04,GAIN,34.0,978.75
128,05:38:14,GAIN,26.0,1004.75
129,05:38:24,LOSS,12.0,992.75
130,05:38:34,GAIN,50.0,1042.75
131,05:38:37,LOSS,19.0,1023.75
132,05:38:44,GAIN,35.0,1058.75
133,05:38:47,LOSS,16.0,1042.75
134,05:38:54,LOSS,13.0,1029.75
135,05:38:57,LOSS,14.0,1015.75
136,05:39:04,GAIN,33.0,1048.75
137,05:39:07,GAIN,48.0,1096.75
138,05:39:14,LOSS,24.0,1072.75
139,05:39:17,LOSS,30.0,1042.75
